agence,ville,adresse,code_postal,email,telephone,url,region
"Agence MONS, BELGIQUE",MONS,QUAI SUD 31/2,7000,mons@transakauto.com,+32 65 67 62 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-mons,Belgique
Agence MONT DE MARSAN,MONT DE MARSAN,1144 AVENUE ELOI DUCOM,40000,mont-de-marsan@transakauto.com,05 24 28 12 71,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-mont-de-marsan,Nouvelle-Aquitaine
Agence MONTARGIS,AMILLY,110 RUE DE PAUCOURT,45200,montargis@transakauto.com,02 34 05 69 22,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montargis,Centre-Val de Loire
Agence MONTAUBAN,MONTAUBAN,10 IMPASSE D'HELSINKI,82000,montauban@transakauto.com,05 63 31 40 42,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montauban,Occitanie
Agence MONTBELIARD,MATHAY,ZONE INDUSTRIELLE LES ANSANGES,25700,montbeliard25@transakauto.com,07 83 09 60 27,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montbeliard,Grand Est
Agence MONTELIMAR,CHATEAUNEUF-DU-RHONE,58A RUE BENOIT FOURNEYRON,26780,montelimar@transakauto.com,04 75 51 94 16,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montelimar,Auvergne-Rhône-Alpes
Agence MONTLUCON,MONTLUÇON,56 RUE EUGÈNE SUE,3100,montlucon@transakauto.com,06 14 90 25 48,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montlucon,Auvergne-Rhône-Alpes
Agence MONTPELLIER,SAINT JEAN DE VEDAS,3 RUE CLEMENT ADER,34430,montpellier@transakauto.com,04 67 63 01 41,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montpellier,Occitanie
Agence MORLAIX,SAINT-MARTIN-DES-CHAMPS,69 ROUTE DE SAINTE-SÈVE,29600,morlaix@transakauto.com,02 98 59 69 46,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-morlaix,Bretagne
Agence MOULINS,YZEURE,132 ROUTE DE LYON,03400,moulins@transakauto.com,04 70 34 55 21,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-moulins,Auvergne-Rhône-Alpes
"Agence NAMUR, BELGIQUE",ERPENT,RUE DES BALAIVES 6,5101,namur@transakauto.com,+32 814 00874,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-namur,Belgique
Agence NANCY,LUDRES,441 RUE DU FRANCLOS,54710,nancy.mckars@gmail.com,06 72 77 51 31,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-nancy,Grand Est
Agence NANTES NORD,SAINT HERBLAIN,9 RUE DE LA JOHARDIERE,44800,nantesnord@transakauto.com,02 40 85 32 53,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-nantes-nord,Pays de la Loire
Agence NARBONNE,NARBONNE,441 RUE LAURENT DE LAVOISIER,11100,narbonne@transakauto.com,04 68 45 06 01,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-narbonne,Occitanie
Agence NICE EST,NICE,94 BOULEVARD RENE CASSIN,06100,niceest@transakauto.com,04 22 91 83 44,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-nice-est,Provence-Alpes-Côte d'Azur
Agence NICE OUEST,SAINT-LAURENT-DU-VAR,64 COURSIVE DES CHARPENTIERS,6700,niceouest@transakauto.com,06 61 20 20 58,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-nice-ouest,Provence-Alpes-Côte d'Azur
Agence NIMES,CAISSARGUES,10 AVENUE DE LA VISTRENQUE,30123,nimes1@transakauto.com,04 49 05 93 87,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-nimes,Occitanie
Agence NIORT,NIORT,107 RUE DE L'AERODROME,79000,niort@transakauto.com,05 16 18 24 20,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-niort,Nouvelle-Aquitaine
Agence ORANGE,ORANGE,775 AVENUE DE VERDUN,84100,orange@transakauto.com,04 86 71 12 04,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-orange,Provence-Alpes-Côte d'Azur
Agence ORLEANS,ORLEANS,146 RUE DE LA BARRIERE SAINT MARC,45000,orleans@transakauto.com,06 68 59 39 14,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-orleans,Centre-Val de Loire
Agence PAU,LONS,6 RUE LEPINE,64140,pau@transakauto.com,05 35 53 97 05,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-pau,Nouvelle-Aquitaine
Agence PERIGUEUX,MARSAC-SUR-L'ISLE,3 BOULEVARD DE LAVENIR,24430,agenceperigueux24@gmail.com,05 53 03 03 25,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-perigueux,Nouvelle-Aquitaine
Agence PERPIGNAN NORD SAINT ESTEVE,SAINT-ESTEVE,32 AVENUE TORREMILA,66240,sm.transactionauto@gmail.com,04 48 89 96 89,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-perpignan,Occitanie
Agence PERTUIS,PERTUIS,79 RUE DENIS PAPIN,84120,pertuis@transakauto.com,04 22 91 90 11,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-pertuis,Provence-Alpes-Côte d'Azur
Agence PLOERMEL,LES FORGES DE LANOUÉE,ZA DE LA BOURDONNAYE,56120,ploermel@transakauto.com,02 97 72 62 75,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-ploermel,Bretagne
Agence POITIERS,BIARD,3 RUE RAYMOND COLLART,86580,poitiers@transakauto.com,05 49 55 38 47,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-poitiers,Nouvelle-Aquitaine
Agence PORNIC,PORNIC,31 RUE DES CHAMPS FRANCS,44210,pornic@transakauto.com,09 56 31 10 00,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-pornic,Pays de la Loire
Agence PROVINS,PROVINS,15 RUE VALENTIN ABEILLE,77160,provins@transakauto.com,06 79 92 78 92,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-provins,Ile-de-France
Agence QUIMPER,QUIMPER,"41 ROUTE DE ROSPORDEN,",29000,quimper@transakauto.com,07 63 86 90 10,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-quimper,Bretagne
Agence RAMBOUILLET,GAZERAN,"ZAC DE BEL AIR, 1 RUE AMELIA EARHART",78125,rambouillet@transakauto.com,01 89 88 23 30,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-rambouillet,Ile-de-France
Agence REDON,SAINTE-MARIE,23 RUE DU LOTIER DES MARAIS ZA LANDE SAINT-JEAN,35600,redon@transakauto.com,02 99 72 13 89,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-redon,Bretagne
Agence REIMS,REIMS,6 RUE MAURICE PREVOTEAU,51100,reims@transakauto.com,03 74 47 29 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-reims,Grand Est
Agence RENNES OUEST,LA CHAPELLE-DES-FOUGERETZ,4 RUE DU TERTRE ZA DE LA BROSSE,35520,rennesouest@transakauto.com,02 99 02 84 05,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-rennes-ouest-sarl-jm-motors,Bretagne
Agence ROANNE,RIORGES,71 IMPASSE CLÉMENT ADER,42153,roanne@transakauto.com,04 84 84 47 84,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-roanne,Auvergne-Rhône-Alpes
Agence RODEZ,ONET-LE-CHATEAU,566 RUE DE CANTARANNE,12850,rodez@transakauto.com,07 60 23 49 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-rodez,Occitanie
Agence ROMANS SUR ISERE,ROMANS-SUR-ISERE,485 RUE DENIS PAPIN,26750,romans@transakauto.com,04 65 84 35 15,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-romans-sur-isere,Auvergne-Rhône-Alpes
Agence ROUEN,BOIS-GUILLAUME,"CENTRE COMMERCIAL LES BOCQUETS, RUE D'UELZEN",76230,rouen@transakauto.com,02 35 36 86 70,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-rouen,Normandie
Agence SAINT ETIENNE,SAINT-ETIENNE,8/10 RUE GUSTAVE DELORY,42000,saintetienne@transakauto.com,04 82 82 92 30,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-etienne,Auvergne-Rhône-Alpes
Agence SAINT MAUR,ST MAUR DES FOSSEES,83 AVENUE VICTOR HUGO,94100,saintmaur@transakauto.com,06 08 92 24 61,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-maur,Ile-de-France
Agence SAINT MAXIMIN,SAINT-MAXIMIN,41 RUE BENOIT FRACHON,60740,st-maximin@transakauto.com,06 83 23 18 07,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-st-maximin-lpr-motors,Hauts-de-France
"Agence SAINT-ANDRE, REUNION",SAINT-ANDRE,71 CHEMIN PENTE SASSY,97440,saint-andre@transakauto.com,06 93 94 92 96,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-andre,La Réunion
Agence SAINT-BRIEUC,SAINT-BRIEUC,61 BIS RUE DE PARIS,22000,saintbrieuc@transakauto.com,06 81 37 93 92,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-brieuc,Bretagne
"Agence SAINT-DENIS, REUNION",SAINT DENIS,26 RUE GABRIEL DE KERVEGEN SAINT-DENIS,97490,saint-denis@transakauto.com,+262 693 43 59 94,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-denis-reunion,La Réunion
Agence SAINT-DIZIER,SAINT DIZIER,RUE PHILIPPE CHARBONNEAUX ZAC DU CHÊNE ST AMAND,51200,saint-dizier@transakauto.com,06 15 60 33 31,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-dizier,Grand Est
Agence SAINT-LO,SAINT-LÔ,92 RUE KONRAD ADENAUER,50000,saint-lo@transakauto.com,0233725013,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-lo,Normandie
Agence SAINT-LOUIS,HEGENHEIM,2 RUE DES MÉTIERS,68220,saint-louis@transakauto.com,03 89 67 18 79,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-louis,Grand Est
Agence SAINT-MALO,ST MALO,22 AVENUE DU GENERAL FERRIE,35400,saint-malo@transakauto.com,06 83 92 39 28,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-st-malo,Bretagne
Agence SAINT-NAZAIRE,SAINT-NAZAIRE,3 RUE DENIS PAPIN,44600,saintnazaire@transakauto.com,02 40 42 06 50,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-nazaire,Pays de la Loire
Agence SAINT-QUENTIN,SAINT-QUENTIN,5 RUE DACHERY,2100,saintquentin@transakauto.com,06 09 82 94 38,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saint-quentin,Hauts-de-France
Agence SAINTES,SAINTES,30 BIS RUE DES FOUGERES,17100,saintes@transakauto.com,05 17 28 65 48,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saintes,Nouvelle-Aquitaine
Agence SALLANCHES,CLUSES,11 AVENUE DE LA LIBÉRATION,74300,cluses-sallanches@transakauto.com,09 86 42 08 04,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-sallanches,Auvergne-Rhône-Alpes
Agence SARLAT,SARLAT-LA-CANEDA,81 AVENUE DE LA CANEDA,24200,sarlat@transakauto.com,05 53 28 04 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-sarlat,Nouvelle-Aquitaine
Agence SARTROUVILLE,CORMEILLES-EN-PARISIS,"ZAC DES BOIS ROCHEFORT, 5 RUE GEORGES MELIES,",95240,sartrouville@transakauto.com,01 83 84 63 90,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-sartrouville,Ile-de-France
Agence SAUMUR,DISTRE,"ZAC DU CHAMP BLANCHARD, 4 ALLEE DE LA GAGNERIE",49400,saumur@transakauto.com,02 53 93 05 82,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-saumur,Pays de la Loire
Agence SECLIN,SECLIN,"235 RUE DE L'INDUSTRIE,",59113,seclin@transakauto.com,06 71 64 29 70,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-seclin,Hauts-de-France
Agence SENS,SENS,30B RUE DE LA PÉPINIÈRE,89100,sens@transakauto.com,03 58 15 58 29,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-sens,Bourgogne-Franche-Comté
Agence SETE,GIGEAN,4 RUE DE L'EMBOSQUE,34770,sete@transakauto.com,04 99 02 06 26,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-sete,Occitanie
Agence STRASBOURG NORD,LAMPERTHEIM,13 RUE DU CHEMIN DE FER,67450,strasbourgnord@transakauto.com,03 69 61 25 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-strasbourg-nord,Grand Est
Agence TARBES,ODOS,"22 AV. DE LOURDES,",65310,tarbes@transakauto.com,05 67 05 80 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-tarbes,Occitanie
Agence THIAIS,ORLY,15 RUE DES AUBÉPINES,94310,thiais@transakauto.com,06 83 35 41 69,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-thiais,Ile-de-France
Agence THIONVILLE,HETTANGE GRANDE,32 RUE DU GENERAL PATTON,57330,transakautothionville.tt.vente.bl@master-biz.io,03 65 67 06 11,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-thionville,Grand Est
Agence THONON-LES-BAINS,PERRIGNIER,300 RUE DU BRAFYEU ZI LES GRANDES TEPPES,74550,thonon-les-bains@transakauto.com,04 80 95 89 45,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-thonon-les-bains,Auvergne-Rhône-Alpes
Agence TOULON,OLLIOULES,293 ROUTE DE LA SEYNE,83190,toulon@transakauto.com,07 80 95 40 84,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-toulon,Provence-Alpes-Côte d'Azur
Agence TOULOUSE EST,L'UNION,23 RUE D'HELIOS,31240,toulouse.est@transakauto.com,06 86 37 79 79,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-toulouse-est,Occitanie
Agence TOULOUSE OUEST,PIBRAC,9 RUE GUINARD,31820,toulouse@transakauto.com,07 57 67 85 75,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-toulouse,Occitanie
Agence TOURCOING,RONCQ,222 RUE DE LILLE,59223,tourcoing@transakauto.com,07 63 04 84 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-tourcoing,Hauts-de-France
Agence TOURS SUD,CHAMBRAY LES TOURS,102 BIS RUE DE L'HIPPODROME,37170,tours@transakauto.com,07 88 63 83 86,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-tours,Centre-Val de Loire
Agence TROYES,SAINT LYE,11 ROUTE DE GRANGE L'EVEQUE,10180,troyes@transakauto.com,03 65 67 12 93,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-troyes,Grand Est
Agence VALENCE,BEAUMONT-LES-VALENCE,505 ALLÉE RENÉ HIGONNET,26760,valence@transakauto.com,04 82 32 91 61,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-valence,Auvergne-Rhône-Alpes
Agence VALENCIENNES,PETITE FORET,75 RUE LAPLACE,59494,valenciennes@transakauto.com,06 71 89 08 80,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-valenciennes,Hauts-de-France
Agence VANNES,SAINT-AVE,22 RUE MARCEL DASSAULT,56890,vannes@transakauto.com,02 30 85 96 69,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-vannes,Bretagne
Agence VIENNE,ESTRABLIN,"IMPASSE OPALE, ZA DU ROCHER",38780,vienne@transakauto.com,09 81 51 78 53,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-vienne,Auvergne-Rhône-Alpes
Agence VIERZON,VIERZON,1 TER ZAC DE L'ORÉE DE SOLOGNE,18100,vierzon@transakauto.com,06 37 84 49 23,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-vierzon,Centre-Val de Loire
Agence VILLEFRANCHE SUR SAONE,GLEIZE,129 RUE DE LA FARNIERE,69400,villefranche69@transakauto.com,04 74 06 30 80,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-villefranche-sur-saone,Auvergne-Rhône-Alpes
Agence VILLEFRANCHE-DE-LAURAGAIS,VILLEFRANCHE DE LAURAGAIS,8 CHEMIN DU PASTEL,31290,villefranche@transakauto.com,06 71 85 15 36,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-villefranche,Occitanie
Agence VINCENNES,VINCENNES,38 RUE DE FONTENAY,94300,vincennes@transakauto.com,07 68 26 29 45,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-vincennes,Ile-de-France
Agence WISSOUS,WISSOUS,5 BIS RUE ANDRE DOLIMIER,91320,wissous@transakauto.com,01 88 83 07 50,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-wissous,Ile-de-France
Agence YVETOT,SAINTE MARIE DES CHAMPS,1 IMPASSE DES RENARDS,76190,yvetot@transakauto.com,02 78 08 91 47,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-yvetot,Normandie
